Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
722125,3,5,26,11601,20,0,8.666666667000001,10.26320288,8760,0,2320.2,3668.897,16101.09053,11.0784144,103160.7143,264952.6956,703829,4,17969,8984.5,12700.3449,17965,4,722026,180506.5,348981.7907,703829,118,0,0,0,0,72,112,4.154405401,6.924009001,0,8760,1291.888889,2866.607422,8217438.111,0,0,0,1,0,0,0,0,1,1453.375,8.666666667000001,2320.2,72,0,0,0,0,0,0,3,26,5,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DoS
820516,3,6,26,11607,20,0,8.666666667000001,10.26320288,5840,0,1934.5,2538.9192780000008,14177.66381,10.9687075,102564.5,289530.6562,819116,3,1065,532.5,508.4097757,892,173,820472,164094.4,366168.4845,819116,3,0,0,0,0,72,132,3.656235832,7.3124716639999985,0,5840,1163.3,2138.329153,4572451.567,0,0,0,1,0,0,0,0,2,1292.555556,8.666666667000001,1934.5,72,0,0,0,0,0,0,3,26,6,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DoS
10884746,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,2.756150672,0.459358445,2721186.5,5441038.415,10900000,1,10900000,2721186.5,5441038.415,10900000,1,0,0.0,0.0,0,0,0,0,0,0,100,0,0.459358445,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,2002.0,0.0,2002,2002,10900000.0,0.0,10900000,10900000,DoS
831116,3,6,26,11601,20,0,8.666666667000001,10.26320288,5755,0,1933.5,2166.985348,13989.62359,10.82881331,103889.5,290112.9159,821847,10,8974,4487.0,5557.8593,8417,557,831060,166212.0,366531.2637,821847,10,0,0,0,0,72,132,3.609604435,7.219208871,0,5755,1162.7,1897.114303,3599042.678000001,0,0,0,1,0,0,0,0,2,1291.888889,8.666666667000001,1933.5,72,0,0,0,0,0,0,3,26,6,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DoS
202312,3,5,26,11607,20,0,8.666666667000001,10.26320288,10220,0,2321.4,4455.182578,57500.29657000001,39.54288426,28901.71429,75895.44154,201015,2,1045,522.5,581.9488809,934,111,202266,50566.5,100300.0683,201015,2,0,0,0,0,72,112,14.8285816,24.71430266,0,10220,1292.555556,3378.299021000001,11400000.0,0,0,0,1,0,0,0,0,1,1454.125,8.666666667000001,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DoS
32272099,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,0.929595562,0.154932594,8068024.75,16100000.0,32300000,3,32300000,8068024.75,16100000.0,32300000,3,0,0.0,0.0,0,0,0,0,0,0,100,0,0.154932594,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,2017.0,0.0,2017,2017,32300000.0,0.0,32300000,32300000,DoS
587580,3,6,26,11607,20,0,8.666666667000001,10.26320288,5840,0,1934.5,2538.9192780000008,19798.15514,15.31706321,73447.5,207159.1878,586140,47,1082,541.0,357.7960313,794,288,587531,117506.2,261974.6266,586140,47,0,0,0,0,72,132,5.105687736,10.21137547,0,5840,1163.3,2138.329153,4572451.567,0,0,0,1,0,0,0,0,2,1292.555556,8.666666667000001,1934.5,72,0,0,0,0,0,0,3,26,6,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DoS
8050806,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,3.726334978,0.62105583,2012701.5,4024069.776,8048806,1,8050806,2012701.5,4024069.776,8048806,1,0,0.0,0.0,0,0,0,0,0,0,100,0,0.62105583,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,2000.0,0.0,2000,2000,8048806.0,0.0,8048806,8048806,DoS
8049820,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,3.726791407,0.621131901,2012455.0,4017572.511,8038810,5,8049820,2012455.0,4017572.511,8038810,5,0,0.0,0.0,0,0,0,0,0,0,100,0,0.621131901,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,11010.0,0.0,11010,11010,8038810.0,0.0,8038810,8038810,DoS
1859661,2,5,20,11607,20,0,10.0,14.14213562,8675,0,2321.4,3769.536019,6252.214785,3.764126903,309943.5,758727.2866,1858689,4,744,744.0,0.0,744,744,1859611,464902.75,929190.8866,1858689,4,0,0,0,0,52,112,1.075464829,2.688662073,0,8675,1453.375,3091.095642,9554872.268,0,0,0,1,0,0,0,0,2,1661.0,10.0,2321.4,52,0,0,0,0,0,0,2,20,5,11607,8192,229,1,20,0.0,0.0,0,0,0.0,0.0,0,0,DoS
4060923,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,7.387483092,1.231247182,1015230.75,2026457.323,4054915,4,4060923,1015230.75,2026457.323,4054915,4,0,0.0,0.0,0,0,0,0,0,0,100,0,1.231247182,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,0.0,0.0,0,0,0.0,0.0,0,0,DoS
311276,3,5,26,11607,20,0,8.666666667000001,10.26320288,10135,0,2321.4,4413.201989,37371.97857,25.70066436,44468.0,117141.404,310119,6,886,443.0,557.2001436,837,49,311233,77808.25,154874.3231,310119,6,0,0,0,0,72,112,9.637749136,16.06291523,0,10135,1292.555556,3350.634907,11200000.0,0,0,0,1,0,0,0,0,1,1454.125,8.666666667000001,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DoS
345037,3,6,26,11601,20,0,8.666666667000001,10.26320288,4380,0,1933.5,1757.789948,33697.8353,26.08415909,43129.625,112076.8519,319665,4,25030,12515.0,17693.22588,25026,4,344993,68998.6,140543.8749,319665,16,0,0,0,0,72,132,8.694719697,17.38943939,0,4380,1162.7,1645.241762,2706820.456,0,0,0,1,0,0,0,0,2,1291.888889,8.666666667000001,1933.5,72,0,0,0,0,0,0,3,26,6,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DoS
40686,3,6,26,11601,20,0,8.666666667000001,10.26320288,4380,0,1933.5,1757.789948,285773.9763,221.20631180000004,5085.75,12966.72575,37068,48,37216,18608.0,26196.89203000001,37132,84,40622,8124.4,16308.95782,37204,48,0,0,0,0,72,132,73.73543725,147.4708745,0,4380,1162.7,1645.241762,2706820.456,0,0,0,1,0,0,0,0,2,1291.888889,8.666666667000001,1933.5,72,0,0,0,0,0,0,3,26,6,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DoS
88501,3,5,26,11607,20,0,8.666666667000001,10.26320288,10135,0,2321.4,4413.201989,131444.8424,90.39445882,12643.0,32946.79281,87356,1,922,461.0,650.5382387,921,1,88452,22113.0,43497.16143,87356,4,0,0,0,0,72,112,33.89792206,56.49653676,0,10135,1292.555556,3350.634907,11200000.0,0,0,0,1,0,0,0,0,1,1454.125,8.666666667000001,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DoS
70676700,8,5,56,11601,20,0,7.0,5.6568542489999984,8760,0,2320.2,3668.897,164.93412959999995,0.183936149,5889725.0,18400000.0,64200000,24,70100000,10000000.0,24000000.0,64200000,146,598242,149560.5,293798.1601,590227,191,0,0,0,0,172,112,0.113191476,0.070744673,0,8760,833.0714286,2337.7240890000007,5464953.918,0,0,0,0,1,0,0,0,0,897.1538462000003,7.0,2320.2,172,0,0,0,0,0,0,8,56,5,11601,256,229,6,20,710.0,0.0,710,710,35000000.0,41300000.0,64200000,5847616,DoS
557432,3,5,26,11607,20,0,8.666666667000001,10.26320288,7215,0,2321.4,3327.769794000001,20868.91316,14.35152628,79633.14286,210137.59,556180,3,946,473.0,482.2468248,814,132,557420,139355.0,277883.703,556180,3,0,0,0,0,72,112,5.381822357000001,8.969703928,0,7215,1292.555556,2650.585648,7025604.278,0,0,0,1,0,0,0,0,1,1454.125,8.666666667000001,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DoS
187097,3,4,26,11607,20,0,8.666666667000001,10.26320288,11595,0,2901.75,5795.50069,62176.30427000001,37.41374795,31182.83333,75812.11285,185933,77,846,423.0,459.6194078,748,98,187020,62340.0,107035.3576,185933,162,0,0,0,0,72,92,16.03446341,21.37928454,0,11595,1454.125,4097.537534,16800000.0,0,0,0,1,0,0,0,0,1,1661.857143,8.666666667000001,2901.75,72,0,0,0,0,0,0,3,26,4,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DoS
8105405,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,2.960987144,0.493497857,2701801.667,4679053.275,8104707,210,8105405,2701801.667,4679053.275,8104707,210,0,0.0,0.0,0,0,0,0,0,0,80,0,0.493497857,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,698.0,0.0,698,698,8104707.0,0.0,8104707,8104707,DoS
24729,3,5,26,11607,20,0,8.666666667000001,10.26320288,7215,0,2321.4,3327.769794000001,470419.3457,323.5068139,3532.714286,8943.996342,23810,4,709,354.5,427.79960260000007,657,52,24691,6172.75,11762.16464,23810,4,0,0,0,0,72,112,121.31505520000002,202.1917587,0,7215,1292.555556,2650.585648,7025604.278,0,0,0,1,0,0,0,0,1,1454.125,8.666666667000001,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DoS
766708,3,6,26,11601,20,0,8.666666667000001,10.26320288,4380,0,1933.5,1757.789948,15164.83459,11.73849758,95838.5,259777.066,738316,11,27827,13913.5,19413.616680000006,27641,186,766604,153320.8,327242.076,738316,11,0,0,0,0,72,132,3.912832526,7.825665051,0,4380,1162.7,1645.241762,2706820.456,0,0,0,1,0,0,0,0,2,1291.888889,8.666666667000001,1933.5,72,0,0,0,0,0,0,3,26,6,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DoS
1047954,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,28.62721074,4.771201789,261988.5,522691.196,1046025,3,1047954,261988.5,522691.196,1046025,3,0,0.0,0.0,0,0,0,0,0,0,100,0,4.771201789,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,0.0,0.0,0,0,0.0,0.0,0,0,DoS
6248860,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,4.80087568,0.8001459470000001,1562215.0,3122404.777,6245822,4,6248860,1562215.0,3122404.777,6245822,4,0,0.0,0.0,0,0,0,0,0,0,100,0,0.8001459470000001,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,3038.0,0.0,3038,3038,6245822.0,0.0,6245822,6245822,DoS
711659,3,5,26,11607,20,0,8.666666667000001,10.26320288,7215,0,2321.4,3327.769794000001,16346.311930000002,11.2413389,101665.5714,268555.0472,710691,4,730,365.0,379.0092347,633,97,711626,177906.5,355189.8209,710691,4,0,0,0,0,72,112,4.215502087,7.0258368120000005,0,7215,1292.555556,2650.585648,7025604.278,0,0,0,1,0,0,0,0,1,1454.125,8.666666667000001,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DoS
12047559,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,1.992104791,0.332017465,4015853.0,6954818.806,12000000,4,12000000,4015853.0,6954818.806,12000000,4,0,0.0,0.0,0,0,0,0,0,0,80,0,0.332017465,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,973.0,0.0,973,973,12000000.0,0.0,12000000,12000000,DoS
12035690,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,2.492586632,0.415431105,3008922.5,6011851.3879999975,12000000,3,12000000,3008922.5,6011851.3879999975,12000000,3,0,0.0,0.0,0,0,0,0,0,0,100,0,0.415431105,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,8992.0,0.0,8992,8992,12000000.0,0.0,12000000,12000000,DoS
5983836,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,4.010805109,0.6684675179999999,1994612.0,3452175.613,5980841,1012,5983836,1994612.0,3452175.613,5980841,1012,0,0.0,0.0,0,0,0,0,0,0,80,0,0.6684675179999999,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,2995.0,0.0,2995,2995,5980841.0,0.0,5980841,5980841,DoS
676345,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,44.35606089,7.392676814,169086.25,336997.8434,674583,478,676345,169086.25,336997.8434,674583,478,0,0.0,0.0,0,0,0,0,0,0,100,0,7.392676814,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,0.0,0.0,0,0,0.0,0.0,0,0,DoS
3086027,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,7.776989637000001,1.29616494,1028675.667,1780872.467,3085050,46,3086027,1028675.667,1780872.467,3085050,46,0,0.0,0.0,0,0,0,0,0,0,80,0,1.29616494,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,DoS
9063874,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,3.30984301,0.551640502,2265968.5,4531198.334,9062766,257,9063874,2265968.5,4531198.334,9062766,257,0,0.0,0.0,0,0,0,0,0,0,100,0,0.551640502,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,1108.0,0.0,1108,1108,9062766.0,0.0,9062766,9062766,DoS
7007023,4,0,24,0,6,6,6.0,0.0,0,0,0.0,0.0,3.42513504,0.57085584,2335674.333,4044638.889,7006021,1,7007023,2335674.333,4044638.889,7006021,1,0,0.0,0.0,0,0,0,0,0,0,80,0,0.57085584,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.5,6.0,0.0,80,0,0,0,0,0,0,4,24,0,0,256,-1,3,20,1002.0,0.0,1002,1002,7006021.0,0.0,7006021,7006021,DoS
70104263,8,5,56,11601,20,0,7.0,5.6568542489999984,5840,0,2320.2,2436.833027,166.2809008,0.185438081,5842021.917,20000000.0,69400000,1,70000000,10000000.0,26200000.0,69400000,1,109173,27293.25,39755.28308,84363,44,0,0,0,0,172,112,0.1141157419999999,0.071322339,0,5840,833.0714286,1774.906302,3150292.379,0,0,0,0,1,0,0,0,0,897.1538462000003,7.0,2320.2,172,0,0,0,0,0,0,8,56,5,11601,256,229,6,20,603985.0,0.0,603985,603985,69400000.0,0.0,69400000,69400000,DoS
1252937,3,6,26,11601,20,0,8.666666667000001,10.26320288,5840,0,1933.5,2189.772933,9279.796191,7.183122535,156617.125,438226.6907,1241132,3,11074,5537.0,7826.257854,11071,3,1252863,250572.6,553761.3347,1241132,45,0,0,0,0,72,132,2.394374178,4.788748357,0,5840,1162.7,1911.59573,3654198.233,0,0,0,1,0,0,0,0,2,1291.888889,8.666666667000001,1933.5,72,0,0,0,0,0,0,3,26,6,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DoS
407121,3,5,26,11601,20,0,8.666666667000001,10.26320288,7215,0,2320.2,2991.555649,28559.07703,19.65017771,58160.14286,147156.7869,391644,6,15024,7512.0,10615.087,15018,6,407064,101766.0,193381.6641,391644,73,0,0,0,0,72,112,7.368816642,12.28136107,0,7215,1291.888889,2441.667076,5961738.111000001,0,0,0,1,0,0,0,0,1,1453.375,8.666666667000001,2320.2,72,0,0,0,0,0,0,3,26,5,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DoS
850396,3,4,26,11601,20,0,8.666666667000001,10.26320288,7215,0,2900.25,3540.00286,13672.453769999998,8.231459226,141732.6667,341628.7042,839024,9,11096,5548.0,7554.72885,10890,206,850387,283462.3333,481162.1753,839024,162,0,0,0,0,72,92,3.52776824,4.703690986,0,7215,1453.375,2786.259804,7763243.696,0,0,0,1,0,0,0,0,1,1661.0,8.666666667000001,2900.25,72,0,0,0,0,0,0,3,26,4,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DoS
33932,3,5,26,11601,20,0,8.666666667000001,10.26320288,5840,0,2320.2,2436.833027,342655.9,235.7656489,4847.428571,12485.11571,33160,18,33226,16613.0,23426.44766,33178,48,33914,8478.5,16573.36115,33338,58,0,0,0,0,72,112,88.41211835,147.3535306,0,5840,1291.888889,2110.95076,4456113.1110000005,0,0,0,1,0,0,0,0,1,1453.375,8.666666667000001,2320.2,72,0,0,0,0,0,0,3,26,5,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DoS
72183689,8,5,56,11601,20,0,7.0,5.6568542489999984,8760,0,2320.2,3668.897,161.4907767,0.180096088,6015307.417,19600000.0,68300000,1,72100000,10300000.0,25600000.0,68300000,1,56687,14171.75,23009.96601,48411,166,0,0,0,0,172,112,0.1108283619999999,0.069267726,0,8760,833.0714286,2337.7240890000007,5464953.918,0,0,0,0,1,0,0,0,0,897.1538462000003,7.0,2320.2,172,0,0,0,0,0,0,8,56,5,11601,256,229,6,20,3852916.0,0.0,3852916,3852916,68300000.0,0.0,68300000,68300000,DoS
472620,3,5,26,11607,20,0,8.666666667000001,10.26320288,7215,0,2321.4,3327.769794000001,24613.85468,16.92691803,67517.14286,178241.1885,471730,3,620,310.0,329.51176,543,77,472568,118142.0,235725.5081,471730,3,0,0,0,0,72,112,6.347594262,10.57932377,0,7215,1292.555556,2650.585648,7025604.278,0,0,0,1,0,0,0,0,1,1454.125,8.666666667000001,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DoS
1531084,3,5,26,11607,20,0,8.666666667000001,10.26320288,5840,0,2321.4,3173.373883,7597.884897,5.225056235,218726.2857,578172.463,1529898,3,950,475.0,595.3839098,896,54,1531064,382766.0,764754.7828,1529898,3,0,0,0,0,72,112,1.959396088,3.265660147,0,5840,1292.555556,2554.159212,6523729.278,0,0,0,1,0,0,0,0,1,1454.125,8.666666667000001,2321.4,72,0,0,0,0,0,0,3,26,5,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,DoS
